,AI,RAW,PM10,RH,TEMP
2019-09-18 12:00,17.2610443,15.12658228,16.04113924,24.17582278,36.90712025
2019-09-18 13:00,16.0646519,13.65189873,14.41772152,22.36639241,36.17518987
2019-09-18 14:00,14.79599369,12.04416404,12.82334385,21.28438486,35.71056782
2019-09-18 15:00,11.70752381,8.942857143,9.625396825,21.05793651,34.08371429
2019-09-18 16:00,9.015506329,6,6.794303797,19.5793038,33.99674051
2019-09-18 17:00,7.701677215,4.674050633,5.310126582,20.29996835,32.09291139
2019-09-18 18:00,7.689809524,4.673015873,5.498412698,23.38892063,29.09349206
2019-09-18 19:00,8.843132911,5.629746835,6.42721519,28.11658228,25.49322785
2019-09-18 20:00,10.10132911,6.971518987,7.943037975,30.89376582,23.95231013
2019-09-18 21:00,9.86431746,6.723809524,7.596825397,31.18631746,23.30790476
2019-09-18 22:00,8.377555556,5.222222222,5.968253968,30.58561905,22.9015873
2019-09-18 23:00,8.28552381,4.822222222,5.628571429,29.75161905,22.3375873
2019-09-19 0:00,8.538892405,4.96835443,5.658227848,30.47531646,21.29322785
2019-09-19 1:00,8.788031746,5.33015873,6.088888889,31.87479365,20.80085714
2019-09-19 2:00,8.896782334,5.634069401,6.533123028,33.41741325,20.51697161
2019-09-19 3:00,8.767301587,5.73015873,6.596825397,34.78292063,20.36711111
2019-09-19 4:00,8.552974684,6.193037975,6.996835443,39.19971519,20.08436709
2019-09-19 5:00,9.153259494,7.094936709,8.009493671,43.09177215,19.71905063
2019-09-19 6:00,10.35898734,8.39556962,9.452531646,47.34503165,19.16962025
2019-09-19 7:00,11.80990506,10.09810127,11.05696203,48.63575949,18.98560127
2019-09-19 8:00,12.08202532,10.88607595,12.06012658,49.82202532,19.69943038
2019-09-19 9:00,12.49338608,11.64556962,12.75632911,49.80234177,20.74151899
2019-09-19 10:00,13.875,12.45859873,13.46178344,35.3827707,28.3961465
2019-09-19 11:00,15.15647619,12.50793651,13.48571429,24.22368254,36.18438095
2019-09-19 12:00,17.47253968,14.35555556,15.32380952,23.05990476,37.86057143
2019-09-19 13:00,17.68133117,16.32467532,17.23376623,24.9462987,35.64295455
2019-09-19 14:00,20.83936709,19.93670886,21.12658228,25.0425,35.16414557
2019-09-19 15:00,24.06234177,22.04746835,23.35759494,24.26439873,35.57727848
2019-09-19 16:00,22.18174603,21.84761905,22.94920635,25.77101587,34.21177778
2019-09-19 17:00,16.69377778,15.16507937,15.87936508,24.97352381,33.27939683
2019-09-19 18:00,12.69977848,9.870253165,10.50632911,28.92509494,28.74670886
2019-09-19 19:00,11.35344937,8.829113924,9.560126582,34.21886076,26.44898734
2019-09-19 20:00,13.17971519,10.56329114,11.28481013,33.61262658,25.31186709
2019-09-19 21:00,10.4458805,7.839622642,8.534591195,34.86757862,24.40477987
2019-09-19 22:00,10.27148734,7.743670886,8.588607595,37.06541139,23.83503165
2019-09-19 23:00,10.61946203,8.082278481,9.132911392,37.4696519,22.96588608
2019-09-20 0:00,11.26936709,8.506329114,9.490506329,36.06949367,22.75417722
2019-09-20 1:00,12.33087948,9.631921824,10.62214984,38.7290228,22.40420195
2019-09-20 2:00,12.60419048,11.01269841,12.07301587,46.92526984,21.9427619
2019-09-20 3:00,13.9694586,12.30573248,13.53821656,44.08853503,21.76598726
2019-09-20 4:00,12.51648734,10.84810127,11.82278481,46.97439873,21.65984177
2019-09-20 5:00,12.48796825,11.0031746,12.09206349,47.73412698,21.43419048
2019-09-20 6:00,11.68841772,10.83544304,11.86075949,50.98151899,21.06531646
2019-09-20 7:00,10.62288889,8.907936508,9.650793651,50.70609524,20.96815873
2019-09-20 8:00,11.63214511,10.44479495,11.3533123,50.18031546,21.91438486
2019-09-20 9:00,11.94727848,10.20253165,11.02531646,46.91022152,23.31585443
